"CREATEDAT","CREATEDBY","MODIFIEDAT","MODIFIEDBY","ID","QUANTITY","BIGBAGTYPE_ID","SHIFTSK_ID","REFERENCESK_ID","OBSERVATIONSK_ID"
"2022-08-29 18:52:34.502000000","cristian.delarosa@katoennatie.com","2022-08-29 18:52:34.502000000","cristian.delarosa@katoennatie.com","ed8e7c73-8341-4509-95bf-3e27e7c8903e","400","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:54:01.992000000","cristian.delarosa@katoennatie.com","2022-08-29 18:54:01.992000000","cristian.delarosa@katoennatie.com","29359eeb-e915-4f1c-aab5-90149bf4a4c5","100","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","82ebdf0d-1076-4583-9e17-a54e23a2e4b8","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:54:39.473000000","cristian.delarosa@katoennatie.com","2022-08-29 18:54:39.473000000","cristian.delarosa@katoennatie.com","28623657-6b4e-48ea-b30d-9db05e34282e","300","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:56:00.050000000","cristian.delarosa@katoennatie.com","2022-08-29 18:56:00.050000000","cristian.delarosa@katoennatie.com","2e6a7c80-24b4-453d-9356-fc68dca77edf","200","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","9fb5cf5a-5bff-4a87-a567-10fced3f3aa0","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:56:32.933000000","cristian.delarosa@katoennatie.com","2022-08-29 18:56:32.933000000","cristian.delarosa@katoennatie.com","4dea47a2-f8e8-4216-bdd5-70408aa2a353","100","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","82ebdf0d-1076-4583-9e17-a54e23a2e4b8","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:56:50.924000000","cristian.delarosa@katoennatie.com","2022-08-29 18:56:50.924000000","cristian.delarosa@katoennatie.com","50e13bf9-4ae1-44c8-9174-32ba70287447","150","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:57:18.763000000","cristian.delarosa@katoennatie.com","2022-08-29 18:57:18.763000000","cristian.delarosa@katoennatie.com","51ab8230-5e51-45fe-84c3-5670195f956a","200","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","82ebdf0d-1076-4583-9e17-a54e23a2e4b8","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:57:53.347000000","cristian.delarosa@katoennatie.com","2022-08-29 18:57:53.347000000","cristian.delarosa@katoennatie.com","599238e9-53fa-4380-8045-2183e71a5a6d","100","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
"2022-08-29 18:58:39.146000000","cristian.delarosa@katoennatie.com","2022-08-29 18:58:39.146000000","cristian.delarosa@katoennatie.com","dd8e3fed-20dd-486e-aab6-dd664827f6f1","1","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","964d216b-dd86-44ee-b5ef-282373b25291"
"2022-08-29 18:59:03.607000000","cristian.delarosa@katoennatie.com","2022-08-29 18:59:03.607000000","cristian.delarosa@katoennatie.com","818c3973-6fa5-43d6-9a1c-132de7fd25aa","200","a914d708-6e5c-4213-b0ea-7ab3d496f384","82376d0c-082c-46d6-9904-8c6fe057fa0d","4ceec293-8b37-42c7-be66-832b5cf62ff7","1d6c972b-ce5b-46e1-a3e3-c87c5e2963b6"
